content,poetry_author,poetry_name
"
日出而作，日入而息。,凿井而饮，耕田而食。,帝力于我何有哉！
",佚名,击壤歌
"
关关雎鸠，在河之洲。窈窕淑女，君子好逑。,参差荇菜，左右流之。窈窕淑女，寤寐求之。,求之不得，寤寐思服。悠哉悠哉，辗转反侧。,参差荇菜，左右采之。窈窕淑女，琴瑟友之。,参差荇菜，左右芼之。窈窕淑女，钟鼓乐之。
",佚名,关雎
"
投我以木瓜，报之以琼琚。匪报也，永以为好也！,投我以木桃，报之以琼瑶。匪报也，永以为好也！,投我以木李，报之以琼玖。匪报也，永以为好也！
",佚名,木瓜
"
桃之夭夭，灼灼其华。之子于归，宜其室家。,桃之夭夭，有蕡其实。之子于归，宜其家室。,桃之夭夭，其叶蓁蓁。之子于归，宜其家人。
",佚名,桃夭
"
,
",佚名,蒹葭
"
,
",佚名,无衣
"
谁谓河广？一苇杭之。谁谓宋远？跂予望之。,谁谓河广？曾不容刀。谁谓宋远？曾不崇朝。
",佚名,河广
"
,
",佚名,采薇
"
,
",佚名,硕鼠
"
,
",佚名,伐檀
"
相鼠有皮，人而无仪！人而无仪，不死何为？,相鼠有齿，人而无止！人而无止，不死何俟？,相鼠有体，人而无礼！人而无礼，胡不遄死？
",佚名,相鼠
"
风萧萧兮易水寒，壮士一去兮不复还。(复还 一作：复反),探虎穴兮入蛟宫，仰天呼气兮成白虹。(此句疑为后人补作)
",佚名,渡易水歌
"
力拔山兮气盖世。时不利兮骓不逝。,骓不逝兮可奈何！虞兮虞兮奈若何！
",项羽,垓下歌
"
大风起兮云飞扬，,威加海内兮归故乡，,安得猛士兮守四方！
",刘邦,大风歌
"
秋风起兮白云飞，草木黄落兮雁南归。,兰有秀兮菊有芳，怀佳人兮不能忘。,泛楼船兮济汾河，横中流兮扬素波。,箫鼓鸣兮发棹歌，欢乐极兮哀情多。,少壮几时兮奈老何！
",刘彻,秋风辞
"
北方有佳人，绝世而独立。,一顾倾人城，再顾倾人国。,宁不知倾城与倾国？佳人难再得。
",李延年,李延年歌
"
,
",佚名,上邪
"
江南可采莲，莲叶何田田。鱼戏莲叶间。,鱼戏莲叶东，鱼戏莲叶西，鱼戏莲叶南，鱼戏莲叶北。
",汉乐府,江南
"
青青园中葵，朝露待日晞。,阳春布德泽，万物生光辉。,常恐秋节至，焜黄华叶衰。,百川东到海，何时复西归？,少壮不努力，老大徒伤悲！
",汉乐府,长歌行
"
,
",佚名,古歌
"
十五从军征，八十始得归。,道逢乡里人：“家中有阿谁？”,“遥看是君家，松柏冢累累。”(遥看 一作：遥望),兔从狗窦入，雉从梁上飞。,中庭生旅谷，井上生旅葵。,舂谷持作饭，采葵持作羹。,羹饭一时熟，不知饴阿谁。,出门东向看，泪落沾我衣。(东向看 一作：东向望)
",佚名,十五从军征
"
,
",佚名,明月何皎皎
"
东城高且长，逶迤自相属。,回风动地起，秋草萋已绿。,四时更变化，岁暮一何速！,晨风怀苦心，蟋蟀伤局促。,荡涤放情志，何为自结束！,燕赵多佳人，美者颜如玉。,被服罗裳衣，当户理清曲。,音响一何悲！弦急知柱促。,驰情整巾带，沉吟聊踯躅。,思为双飞燕，衔泥巢君屋。
",佚名,东城高且长
"
,
",佚名,行行重行行
"
,
",佚名,涉江采芙蓉
"
迢迢牵牛星，皎皎河汉女。,纤纤擢素手，札札弄机杼。,终日不成章，泣涕零如雨。,河汉清且浅，相去复几许。,盈盈一水间，脉脉不得语。
",佚名,迢迢牵牛星
"
,
",佚名,回车驾言迈
"
,
",佚名,客从远方来
"
,
",佚名,凛凛岁云暮
"
举秀才，不知书。,察孝廉，父别居。,寒素清白浊如泥，,高第良将怯如鸡。(如鸡 一作：如黾)
",佚名,桓灵时童谣
"
,
",曹操,龟虽寿
"
,
",曹操,蒿里行
"
,
",曹操,观沧海
"
对酒当歌，人生几何！,譬如朝露，去日苦多。,慨当以慷，忧思难忘。,何以解忧？唯有杜康。(唯 一作：惟),青青子衿，悠悠我心。,但为君故，沉吟至今。,呦呦鹿鸣，食野之苹。,我有嘉宾，鼓瑟吹笙。,明明如月，何时可掇？(明明 一作：皎皎),忧从中来，不可断绝。,越陌度阡，枉用相存。,契阔谈讌，心念旧恩。(谈讌 一作：谈宴),月明星稀，乌鹊南飞。,绕树三匝，何枝可依？,山不厌高，海不厌深。,周公吐哺，天下归心。
",曹操,短歌行
"
,
",魏朝·刘桢,赠从弟·其二
"
,
,
,
,
,
,
",徐干,室思
"
,
",曹丕,燕歌行二首·其一
"
白马饰金羁，连翩西北驰。,借问谁家子，幽并游侠儿。 ,少小去乡邑，扬声沙漠垂。,宿昔秉良弓，楛矢何参差。,控弦破左的，右发摧月支。,仰手接飞猱，俯身散马蹄。,狡捷过猴猿，勇剽若豹螭。,边城多警急，虏骑数迁移。(虏骑 一作：胡骑),羽檄从北来，厉马登高堤。,长驱蹈匈奴，左顾凌鲜卑。,弃身锋刃端，性命安可怀？,父母且不顾，何言子与妻！,名编壮士籍，不得中顾私。(名编 一作：名在) ,捐躯赴国难，视死忽如归！
",曹植,白马篇
"
,
,
",曹植,七步诗
"
南国有佳人，容华若桃李。,朝游江北岸，夕宿潇湘沚。,时俗薄朱颜，谁为发皓齿？,俯仰岁将暮，荣耀难久恃。
",曹植,杂诗七首·其四
"
西京乱无象，豺虎方遘患。,复弃中国去，委身适荆蛮。(委身 一作：远身),亲戚对我悲，朋友相追攀。,出门无所见，白骨蔽平原。,路有饥妇人，抱子弃草间。,顾闻号泣声，挥涕独不还。,未知身死处，何能两相完？,驱马弃之去，不忍听此言。,南登霸陵岸，回首望长安，,悟彼下泉人，喟然伤心肝。
",王粲,七哀诗三首·其一
"
息徒兰圃，秣马华山。,流磻平皋，垂纶长川。,目送归鸿，手挥五弦。,俯仰自得，游心太玄。,嘉彼钓叟，得鱼忘筌。,郢人逝矣，谁与尽言？
",嵇康,四言赠兄秀才入军诗十八首·其十四
"
夜中不能寐，起坐弹鸣琴。,薄帷鉴明月，清风吹我襟。,孤鸿号外野，翔鸟鸣北林。,徘徊将何见？忧思独伤心。
",阮籍,咏怀八十二首·其一
"
,
",佚名,吴孙皓初童谣
"
郁郁涧底松，离离山上苗。,以彼径寸茎，荫此百尺条。,世胄蹑高位，英俊沉下僚。,地势使之然，由来非一朝。,金张籍旧业，七叶珥汉貂。,冯公岂不伟，白首不见招。
",左思,咏史
"
秋风起兮木叶飞，吴江水兮鲈正肥。,三千里兮家未归，恨难禁兮仰天悲。
",张翰,思吴江歌
"
少无适俗韵，性本爱丘山。,误落尘网中，一去三十年。(误落 一作：误入),羁鸟恋旧林，池鱼思故渊。,开荒南野际，守拙归园田。,方宅十余亩，草屋八九间。,榆柳荫后檐，桃李罗堂前。,暧暧远人村，依依墟里烟。,狗吠深巷中，鸡鸣桑树颠。,户庭无尘杂，虚室有余闲。,久在樊笼里，复得返自然。
",陶渊明,归园田居·其一
"
种豆南山下，草盛豆苗稀。,晨兴理荒秽，带月荷锄归。,道狭草木长，夕露沾我衣。,衣沾不足惜，但使愿无违。
",陶渊明,归园田居·其三
"
结庐在人境，而无车马喧。,问君何能尔？心远地自偏。,采菊东篱下，悠然见南山。,山气日夕佳，飞鸟相与还。,此中有真意，欲辨已忘言。(辨 一作：辩)
",陶渊明,饮酒·其五
"
燕丹善养士，志在报强嬴。,招集百夫良，岁暮得荆卿。,君子死知己，提剑出燕京；,素骥鸣广陌，慷慨送我行。,雄发指危冠，猛气冲长缨。,饮饯易水上，四座列群英。,渐离击悲筑，宋意唱高声。,萧萧哀风逝，淡淡寒波生。,商音更流涕，羽奏壮士惊。,心知去不归，且有后世名。,登车何时顾，飞盖入秦庭。,凌厉越万里，逶迤过千城。,图穷事自至，豪主正怔营。,惜哉剑术疏，奇功遂不成。,其人虽已没，千载有馀情。
",陶渊明,咏荆轲
"
孟夏草木长，绕屋树扶疏。 ,众鸟欣有托，吾亦爱吾庐。 ,既耕亦已种，时还读我书。 ,穷巷隔深辙，颇回故人车。 ,欢言酌春酒，摘我园中蔬。 ,微雨从东来，好风与之俱。 ,泛览《周王传》，流观《山海图》。 ,俯仰终宇宙，不乐复何如？
",陶渊明,读山海经·其一
"
精卫衔微木，将以填沧海。,刑天舞干戚，猛志固常在。,同物既无虑，化去不复悔。,徒设在昔心，良辰讵可待。(辰 一作：晨)
",陶渊明,读山海经十三首·其十
"
人生无根蒂，飘如陌上尘。,分散逐风转，此已非常身。,落地为兄弟，何必骨肉亲！,得欢当作乐，斗酒聚比邻。,盛年不重来，一日难再晨。,及时当勉励，岁月不待人。
",陶渊明,杂诗十二首·其一
"
古人云此水，一歃怀千金。,试使夷齐饮，终当不易心。
",吴隐之,酌贪泉
"
江南倦历览，江北旷周旋。,怀新道转迥，寻异景不延。,乱流趋正绝，孤屿媚中川。,云日相辉映，空水共澄鲜。,表灵物莫赏，蕴真谁为传。,想象昆山姿，缅邈区中缘。,始信安期术，得尽养生年。
",谢灵运,登江中孤屿
"
泻水置平地，各自东西南北流。,人生亦有命，安能行叹复坐愁！,酌酒以自宽，举杯断绝歌《路难》。,心非木石岂无感？吞声踯躅不敢言。
",鲍照,拟行路难·其四
"
对案不能食，拔剑击柱长叹息。,丈夫生世会几时？安能蹀躞垂羽翼！,弃置罢官去，还家自休息。,朝出与亲辞，暮还在亲侧。,弄儿床前戏，看妇机中织。,自古圣贤尽贫贱，何况我辈孤且直！
",鲍照,拟行路难·其六
"
中庭杂树多，偏为梅咨嗟。,问君何独然？念其霜中能作花，露中能作实。,摇荡春风媚春日，念尔零落逐寒风，徒有霜华无霜质。(寒风 一作：风飚)
",鲍照,梅花落·中庭杂树多
"
,
",陆凯,赠范晔诗
"
,
",谢朓,晚登三山还望京邑
"
,
",谢朓,王孙游
"
,
",范云,之零陵郡次新亭
"
,
,
,
,
",释宝月,估客乐四首
"
河汉纵且横，北斗横复直。,星汉空如此，宁知心有忆？,孤灯暧不明，寒机晓犹织。,零泪向谁道，鸡鸣徒叹息。
",沈约,夜夜曲
"
兔园标物序，惊时最是梅。,衔霜当路发，映雪拟寒开。,枝横却月观，花绕凌风台。,朝洒长门泣，夕驻临邛杯。,应知早飘落，故逐上春来。
",何逊,咏早梅
"
柳黄未吐叶，水绿半含苔。,春色边城动，客思故乡来。
",何逊,边城思
"
,
",吴均,山中杂诗
"
,
",陶弘景,诏问山中何所有赋诗以答
"
,
",王籍,入若耶溪
"
建平督邮道，鱼复永安宫。,若奏巴渝曲，时当君思中。
",萧纲,蜀道难·其一
"
巫山七百里，巴水三回曲。,笛声下复高，猿啼断还续。
",萧纲,蜀道难·其二
"
,
",阴铿,晚出新亭
"
,
",徐陵,关山月
"
,
",刘昶,断句
"
,
",庾信,寄王琳
"
春蚕不应老，昼夜常怀丝。,何惜微躯尽，缠绵自有时。
",佚名,作蚕丝
"
,
,
,
",佚名,陇头歌辞三首
"
,
,
,
,
,
",佚名,折杨柳歌辞五首
"
敕勒川，阴山下。,天似穹庐，笼盖四野，,天苍苍，野茫茫，风吹草低见牛羊。
",乐府诗集,敕勒歌
"
,
",江总,于长安归还扬州九月九日行薇山亭赋韵
"
,
",薛道衡,人日思归
"
可惜庭中树，移根逐汉臣。,只为来时晚，花开不及春。
",孔绍安,侍宴咏石榴
"
,
",柳开,塞上
"
亭亭画舸系春潭，直到行人酒半酣。,不管烟波与风雨，载将离恨过江南。
",郑文宝,柳枝词
"
马穿山径菊初黄，信马悠悠野兴长。,万壑有声含晚籁，数峰无语立斜阳。,棠梨叶落胭脂色，荞麦花开白雪香。,何事吟余忽惆怅，村桥原树似吾乡。
",王禹偁,村行
"
两株桃杏映篱斜，妆点商州副使家。,何事春风容不得？和莺吹折数枝花。
",王禹偁,春居杂兴·两株桃杏映篱斜
"
,
",寇准,柳
"
岸阔樯稀波渺茫，独凭危槛思何长。,萧萧远树疏林外，一半秋山带夕阳。
",寇准,书河上亭壁
"
鲍老当筵笑郭郎，笑他舞袖太郎当。,若教鲍老当筵舞，转更郎当舞袖长。
",杨亿,咏傀儡
"
,
",林逋,山园小梅二首
"
,
",宋祁,落花
"
,
",曾公亮,宿甘露寺僧舍
"
,
",梅尧臣,东溪
"
,
",梅尧臣,鲁山山行
"
陶尽门前土，屋上无片瓦。,十指不沾泥，鳞鳞居大厦。
",梅尧臣,陶者
"
春云浓淡日微光，双阙重门耸建章。,不上楼来知几日，满城无算柳梢黄。
",梅尧臣,考试毕登铨楼
"
夜雨连明春水生，娇云浓暖弄阴晴。,帘虚日薄花竹静，时有乳鸠相对鸣。
",苏舜钦,初晴游沧浪亭
"
别院深深夏席清，石榴开遍透帘明。(夏席清 一作：夏簟清),树阴满地日当午，梦觉流莺时一声。
",苏舜钦,夏意
"
昨日入城市，归来泪满巾。,遍身罗绮者，不是养蚕人。
",张俞,蚕妇
"
,
",欧阳修,晚泊岳阳
"
,
",欧阳修,画眉鸟
"
,
",欧阳修,戏答元珍
"
红树青山日欲斜，长郊草色绿无涯。,游人不管春将老，来往亭前踏落花。
",欧阳修,丰乐亭游春·其三
"
花光浓烂柳轻明，酌酒花前送我行。,我亦且如常日醉，莫教弦管作离声。
",欧阳修,别滁
"
人言落日是天涯，望极天涯不见家。,已恨碧山相阻隔，碧山还被暮云遮。
",李觏,乡思
"
墙角数枝梅，凌寒独自开。,遥知不是雪，为有暗香来。
",王安石,梅花
"
百战疲劳壮士哀，中原一败势难回。,江东子弟今虽在，肯与君王卷土来？
",王安石,叠题乌江亭
"
,
",王安石,元日
"
,
",王安石,泊船瓜洲
"
飞来山上千寻塔，闻说鸡鸣见日升。(飞来山 一作：飞来峰),不畏浮云遮望眼，自缘身在最高层。
",王安石,登飞来峰
"
金炉香烬漏声残，翦翦轻风阵阵寒。,春色恼人眠不得，月移花影上栏杆。
",王安石,夜直
"
云淡风轻近午天，傍花随柳过前川。,时人不识余心乐，将谓偷闲学少年。
",程颢,春日偶成
"
青苔满地初晴后，绿树无人昼梦余。,唯有南风旧相识，偷开门户又翻书。
",刘攽,新晴
"
一雨池塘水面平，淡磨明镜照檐楹。,东风忽起垂杨舞，更作荷心万点声。
",刘攽,雨后池上
"
清风无力屠得热，落日着翅飞上山。,人固已惧江海竭，天岂不惜河汉干？,昆仑之高有积雪，蓬莱之远常遗寒。,不能手提天下往，何忍身去游其间？
",王令,暑旱苦热
"
三月残花落更开，小檐日日燕飞来。,子规夜半犹啼血，不信东风唤不回。
",王令,送春
"
水绕陂田竹绕篱，榆钱落尽槿花稀。,夕阳牛背无人卧，带得寒鸦两两归。
",张舜民,村居
"
,
",曾巩,咏柳
"
雨过横塘水满堤，乱山高下路东西。,一番桃李花开尽，惟有青青草色齐。
",曾巩,城南二首·其一
"
,
",苏轼,题西林壁
"
,
,
",苏轼,惠崇春江晚景二首
"
,
",苏轼,和子由渑池怀旧
"
春宵一刻值千金，花有清香月有阴。,歌管楼台声细细，秋千院落夜沉沉。
",苏轼,春宵
"
水光潋滟晴方好，山色空蒙雨亦奇。,欲把西湖比西子，淡妆浓抹总相宜。
",苏轼,饮湖上初晴后雨二首·其二
"
,
",苏轼,赠刘景文
"
东风袅袅泛崇光，香雾空蒙月转廊。,只恐夜深花睡去，故烧高烛照红妆。
",苏轼,海棠
"
百里西风禾黍香，鸣泉落窦谷登场。,老牛粗了耕耘债，啮草坡头卧夕阳。
",孔平仲,禾熟
"
试说途中景，方知别后心。,行人日暮少，风雪乱山深。
",孔平仲,寄内
"
骑牛远远过前村，短笛横吹隔陇闻。,多少长安名利客，机关用尽不如君。
",黄庭坚,牧童诗
